Riding,Voter Number,Rank Ballot,Range Ballot,Approval Ballot
4,105,CPC;LIBERAL;GREEN;NDP,4;2;3;1,YES;NO;YES;NO
5,106,NDP;GREEN;CPC;LIBERAL,3;3;2;4,YES;YES;YES;YES
5,107,LIBERAL;CPC;NDP;GREEN,2;1;3;1,YES;YES;YES;YES
5,108,NDP;LIBERAL;GREEN;CPC,1;1;2;2,NO;NO;YES;YES
5,109,CPC;NDP;GREEN;LIBERAL,4;3;3;3,YES;YES;YES;YES
5,110,LIBERAL;NDP;GREEN;CPC,2;2;3;2,YES;YES;YES;YES
5,111,GREEN;NDP;CPC;LIBERAL,1;3;1;1,YES;YES;YES;YES
5,112,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
5,113,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
5,114,LIBERAL;NDP;GREEN;CPC,1;2;3;2,YES;YES;YES;YES
5,115,NDP;LIBERAL;CPC;GREEN,1;1;2;4,NO;NO;YES;YES
5,116,NDP;LIBERAL;GREEN;CPC,1;1;1;4,NO;NO;NO;YES
5,117,LIBERAL;NDP;GREEN;CPC,1;1;4;2,YES;YES;YES;YES
5,118,CPC;NDP;GREEN;LIBERAL,4;3;2;3,YES;NO;NO;NO
5,119,LIBERAL;GREEN;CPC;NDP,1;1;2;1,NO;NO;YES;NO
5,120,LIBERAL;GREEN;NDP;CPC,1;2;3;1,YES;YES;YES;YES
5,121,CPC;GREEN;LIBERAL;NDP,4;4;2;1,YES;YES;YES;YES
5,122,LIBERAL;NDP;CPC;GREEN,3;2;4;3,YES;NO;YES;YES
5,123,NDP;GREEN;LIBERAL;CPC,1;4;2;4,NO;YES;NO;YES
5,124,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;YES
5,125,LIBERAL;NDP;GREEN;CPC,1;1;3;1,YES;YES;YES;YES
5,126,CPC;GREEN;NDP;LIBERAL,4;3;1;1,YES;NO;NO;NO
5,127,LIBERAL;GREEN;NDP;CPC,1;3;4;2,YES;YES;YES;YES
6,128,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;YES;NO;NO
6,129,CPC;NDP;LIBERAL;GREEN,3;1;1;1,YES;YES;YES;YES
6,130,LIBERAL;NDP;CPC;GREEN,2;1;4;3,NO;NO;YES;YES
6,131,CPC;LIBERAL;NDP;GREEN,4;1;2;2,YES;NO;YES;YES
6,132,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
6,133,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
6,134,LIBERAL;CPC;NDP;GREEN,4;1;4;2,YES;YES;YES;YES
6,135,LIBERAL;CPC;NDP;GREEN,1;1;3;1,NO;NO;YES;NO
6,136,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
6,137,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;YES;YES;YES
6,138,LIBERAL;CPC;NDP;GREEN,2;1;4;1,NO;NO;YES;NO
6,139,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;NO;YES;NO
6,140,CPC;GREEN;NDP;LIBERAL,4;2;1;1,YES;YES;NO;NO
6,141,LIBERAL;CPC;NDP;GREEN,1;1;2;1,NO;NO;YES;NO
6,142,NDP;GREEN;CPC;LIBERAL,1;2;1;3,YES;YES;YES;YES
6,143,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;NO
6,144,NDP;GREEN;LIBERAL;CPC,1;1;1;4,NO;NO;NO;YES
6,145,LIBERAL;NDP;GREEN;CPC,1;1;1;1,YES;YES;YES;YES
6,146,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;YES;YES;YES
6,147,CPC;NDP;LIBERAL;GREEN,3;1;1;1,YES;NO;NO;NO
6,148,NDP;GREEN;LIBERAL;CPC,1;2;1;3,NO;NO;NO;YES
7,149,NDP;GREEN;CPC;LIBERAL,2;3;1;5,NO;NO;NO;YES
7,150,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
7,151,CPC;NDP;LIBERAL;GREEN,4;1;2;4,YES;NO;NO;YES
7,152,CPC;GREEN;LIBERAL;NDP,4;2;1;1,YES;NO;NO;NO
7,153,LIBERAL;NDP;GREEN;CPC,2;3;4;4,NO;NO;YES;YES
7,154,LIBERAL;NDP;GREEN;CPC,1;2;4;4,NO;NO;YES;YES
7,155,NDP;GREEN;CPC;LIBERAL,2;2;2;3,NO;NO;NO;YES
7,156,CPC;GREEN;LIBERAL;NDP,4;2;1;1,YES;YES;NO;NO
7,157,CPC;GREEN;NDP;LIBERAL,1;1;1;1,YES;YES;YES;YES
7,158,LIBERAL;CPC;GREEN;NDP,2;1;3;1,YES;YES;YES;YES
7,159,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;NO
7,160,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
7,161,LIBERAL;CPC;NDP;GREEN,1;1;1;1,YES;YES;YES;YES
7,162,LIBERAL;GREEN;CPC;NDP,1;2;2;1,NO;YES;YES;NO
7,163,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;NO;YES;NO
7,164,NDP;GREEN;CPC;LIBERAL,1;2;1;4,NO;YES;NO;YES
7,165,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
7,166,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
8,167,LIBERAL;NDP;GREEN;CPC,3;3;4;4,NO;NO;YES;YES
8,168,LIBERAL;NDP;GREEN;CPC,1;1;2;2,YES;YES;YES;YES
8,169,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
8,170,LIBERAL;CPC;GREEN;NDP,3;3;5;2,YES;YES;YES;YES
8,171,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;YES
8,172,LIBERAL;GREEN;NDP;CPC,1;1;3;1,YES;YES;YES;YES
8,173,NDP;LIBERAL;GREEN;CPC,1;2;3;4,NO;NO;NO;YES
8,174,CPC;NDP;GREEN;LIBERAL,3;2;1;2,YES;YES;YES;YES
8,175,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;NO
8,176,CPC;LIBERAL;GREEN;NDP,3;1;3;1,YES;YES;YES;YES
8,177,CPC;GREEN;NDP;LIBERAL,4;2;1;1,YES;NO;NO;NO
8,178,LIBERAL;NDP;GREEN;CPC,2;2;4;3,YES;YES;YES;YES
8,179,NDP;LIBERAL;GREEN;CPC,1;2;2;3,YES;YES;YES;YES
8,180,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;NO;YES;NO
8,181,CPC;GREEN;LIBERAL;NDP,3;1;1;1,YES;YES;YES;YES
8,182,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;YES;NO;NO
8,183,CPC;NDP;GREEN;LIBERAL,4;3;2;3,YES;YES;YES;YES
8,184,CPC;GREEN;LIBERAL;NDP,4;3;2;1,YES;YES;YES;NO
8,185,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
8,186,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
8,187,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;NO
8,188,CPC;LIBERAL;NDP;GREEN,4;2;3;3,YES;NO;YES;YES
9,189,CPC;GREEN;NDP;LIBERAL,3;2;1;2,YES;YES;NO;YES
9,190,CPC;NDP;GREEN;LIBERAL,5;3;2;4,YES;YES;YES;YES
9,191,LIBERAL;NDP;GREEN;CPC,1;1;3;3,NO;NO;YES;YES
9,192,NDP;LIBERAL;CPC;GREEN,1;1;2;4,YES;YES;YES;YES
9,193,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;NO
9,194,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;NO;YES;NO
9,195,LIBERAL;NDP;GREEN;CPC,1;2;4;3,YES;YES;YES;YES
9,196,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
9,197,LIBERAL;NDP;CPC;GREEN,2;1;4;3,NO;NO;YES;YES
9,198,GREEN;NDP;CPC;LIBERAL,1;2;1;1,YES;YES;YES;YES
9,199,LIBERAL;NDP;GREEN;CPC,2;2;3;2,YES;YES;YES;YES
9,200,NDP;CPC;LIBERAL;GREEN,3;1;2;4,NO;NO;NO;YES
9,201,CPC;LIBERAL;NDP;GREEN,3;1;1;1,YES;YES;YES;YES
9,202,LIBERAL;NDP;CPC;GREEN,2;1;4;3,YES;NO;YES;YES
9,203,NDP;LIBERAL;CPC;GREEN,1;1;2;3,YES;YES;YES;YES
9,204,LIBERAL;CPC;NDP;GREEN,2;1;4;1,NO;NO;YES;NO
9,205,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;NO;YES
9,206,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;NO
9,207,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
10,208,NDP;LIBERAL;GREEN;CPC,1;1;2;3,NO;NO;YES;YES
10,209,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;NO
10,210,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
10,211,NDP;LIBERAL;GREEN;CPC,1;1;3;4,YES;YES;YES;YES
10,212,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
10,213,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;NO
10,214,LIBERAL;GREEN;NDP;CPC,1;3;3;2,NO;YES;YES;NO
10,215,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;YES
10,216,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
10,217,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
10,218,CPC;NDP;LIBERAL;GREEN,4;3;3;4,YES;YES;YES;YES
10,219,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
10,220,NDP;GREEN;CPC;LIBERAL,2;3;1;4,NO;YES;NO;YES
10,221,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
10,222,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;YES;YES;YES
10,223,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
10,224,CPC;GREEN;LIBERAL;NDP,2;1;1;1,YES;NO;NO;NO
10,225,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;YES;YES;YES
11,226,LIBERAL;CPC;GREEN;NDP,2;2;3;1,YES;YES;YES;NO
11,227,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;YES
11,228,LIBERAL;GREEN;NDP;CPC,1;4;5;3,YES;YES;YES;YES
11,229,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
11,230,LIBERAL;NDP;CPC;GREEN,1;1;3;1,NO;NO;YES;NO
11,231,CPC;GREEN;NDP;LIBERAL,4;3;2;3,YES;YES;YES;YES
11,232,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;NO;YES
11,233,NDP;LIBERAL;GREEN;CPC,1;1;2;3,NO;NO;YES;YES
11,234,LIBERAL;NDP;GREEN;CPC,1;1;4;3,NO;NO;YES;YES
11,235,NDP;CPC;GREEN;LIBERAL,2;1;1;3,NO;NO;NO;YES
11,236,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;YES;YES;YES
11,237,NDP;LIBERAL;GREEN;CPC,1;2;3;3,NO;YES;YES;YES
11,238,LIBERAL;GREEN;NDP;CPC,2;4;5;3,NO;YES;YES;NO
11,239,NDP;LIBERAL;GREEN;CPC,1;1;1;2,YES;YES;YES;YES
11,240,LIBERAL;NDP;GREEN;CPC,1;1;2;2,NO;NO;YES;YES
11,241,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
11,242,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
11,243,LIBERAL;NDP;GREEN;CPC,1;1;3;1,YES;YES;YES;YES
11,244,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;YES;YES;YES
12,245,LIBERAL;GREEN;NDP;CPC,1;1;1;1,YES;YES;YES;YES
12,246,NDP;LIBERAL;CPC;GREEN,1;1;1;2,YES;YES;YES;YES
12,247,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;YES
12,248,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;NO;YES;NO
12,249,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;NO
12,250,LIBERAL;NDP;CPC;GREEN,2;1;4;3,YES;YES;YES;YES
12,251,NDP;LIBERAL;GREEN;CPC,4;4;4;4,YES;YES;YES;YES
12,252,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
12,253,LIBERAL;NDP;GREEN;CPC,2;4;5;4,NO;NO;YES;NO
12,254,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
12,255,LIBERAL;GREEN;CPC;NDP,1;3;4;1,NO;NO;YES;NO
12,256,CPC;NDP;GREEN;LIBERAL,4;2;2;3,YES;NO;NO;NO
12,257,CPC;GREEN;LIBERAL;NDP,5;4;3;2,YES;YES;NO;NO
12,258,CPC;NDP;GREEN;LIBERAL,5;2;1;3,YES;NO;NO;YES
12,259,NDP;GREEN;LIBERAL;CPC,1;2;1;5,NO;YES;NO;YES
12,260,CPC;NDP;LIBERAL;GREEN,4;1;2;2,YES;NO;NO;NO
12,261,NDP;LIBERAL;GREEN;CPC,1;2;2;3,NO;YES;YES;YES
12,262,GREEN;NDP;LIBERAL;CPC,1;2;1;1,YES;YES;YES;YES
12,263,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
12,264,LIBERAL;GREEN;NDP;CPC,1;4;4;2,NO;YES;YES;NO
12,265,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
12,266,CPC;GREEN;NDP;LIBERAL,4;3;2;3,YES;YES;YES;YES
13,267,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
13,268,CPC;LIBERAL;GREEN;NDP,5;1;2;1,YES;NO;NO;NO
13,269,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;YES;YES;YES
13,270,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
13,271,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
13,272,NDP;CPC;LIBERAL;GREEN,4;2;3;5,YES;NO;NO;YES
13,273,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
13,274,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
13,275,CPC;NDP;LIBERAL;GREEN,4;2;2;3,YES;YES;YES;YES
13,276,CPC;NDP;GREEN;LIBERAL,1;1;1;1,YES;YES;YES;YES
13,277,LIBERAL;CPC;GREEN;NDP,4;2;5;1,YES;NO;YES;NO
13,278,NDP;GREEN;CPC;LIBERAL,3;3;1;4,NO;NO;NO;YES
13,279,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
13,280,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;YES
13,281,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;YES;YES;YES
13,282,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;YES;YES;NO
13,283,NDP;GREEN;LIBERAL;CPC,1;2;2;3,NO;NO;NO;YES
13,284,LIBERAL;NDP;CPC;GREEN,2;1;2;2,YES;YES;YES;YES
13,285,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;NO
13,286,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;YES;YES
13,287,LIBERAL;CPC;GREEN;NDP,3;2;4;1,YES;YES;YES;NO
14,288,LIBERAL;NDP;GREEN;CPC,1;2;4;3,YES;YES;YES;YES
14,289,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;YES;YES;NO
14,290,LIBERAL;GREEN;NDP;CPC,2;4;4;3,NO;YES;YES;YES
14,291,CPC;GREEN;NDP;LIBERAL,2;2;1;1,YES;YES;NO;NO
14,292,LIBERAL;CPC;GREEN;NDP,1;1;2;1,NO;NO;YES;NO
14,293,LIBERAL;NDP;CPC;GREEN,2;1;3;2,NO;NO;YES;NO
14,294,LIBERAL;NDP;CPC;GREEN,2;1;4;3,YES;NO;YES;YES
14,295,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
14,296,LIBERAL;NDP;CPC;GREEN,1;1;4;2,YES;YES;YES;YES
14,297,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;NO
14,298,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;NO
14,299,CPC;NDP;GREEN;LIBERAL,5;3;2;4,YES;YES;NO;YES
14,300,NDP;LIBERAL;GREEN;CPC,1;1;1;3,NO;NO;NO;YES
14,301,NDP;CPC;LIBERAL;GREEN,1;1;1;2,YES;YES;YES;YES
14,302,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
14,303,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;NO
14,304,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
14,305,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
14,306,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
14,307,LIBERAL;CPC;NDP;GREEN,3;1;4;2,YES;NO;YES;YES
15,308,CPC;GREEN;NDP;LIBERAL,4;2;1;1,YES;NO;NO;NO
15,309,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;YES;NO;NO
15,310,NDP;LIBERAL;GREEN;CPC,2;3;4;4,YES;YES;YES;YES
15,311,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;NO
15,312,LIBERAL;GREEN;CPC;NDP,2;3;4;1,YES;YES;YES;NO
15,313,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;NO;YES;NO
15,314,LIBERAL;NDP;CPC;GREEN,2;1;3;2,YES;YES;YES;YES
15,315,CPC;NDP;LIBERAL;GREEN,5;1;2;4,YES;NO;NO;YES
15,316,CPC;GREEN;NDP;LIBERAL,3;1;1;1,YES;NO;NO;NO
